Movie_Year,Total Dialogues, Female Dialogues, Male Dialogues
highway_2014,370.0,145.0,220.0
kaminey_2009,701.0,62.0,639.0
kapoor_and_sons_2016,1107.0,316.0,791.0
masaan_2015,680.0,207.0,463.0
neerja_2016,602.0,216.0,375.0
nil_battey_sannata_2016,593.0,404.0,151.0
queen_2014,1061.0,640.0,386.0
udta_punjab_2016,505.0,127.0,377.0
aligarh_2016,934.0,145.0,789.0
maqbool_2003,381.0,55.0,322.0
pink_2016,1000.0,292.0,570.0
haider_2014,661.0,110.0,545.0
raman_raghava_2016,545.0,200.0,337.0
